,date,orderId_1,orderId_2,symbol_1,symbol_2,qty_1,qty_2,price_1,price_2,marketPrice_1,marketPrice_2,side_1,side_2,near,far,netting,zscore
0,2024-08-14 02:19:29,2147483647,2147483647,ETHUSDT,LTCUSDT,0.011,0.472,2694.85,63.53,2696.79,63.59,SELL,BUY,10,100,0.0,-0.707253
1,2024-08-14 02:19:50,2147483647,2147483647,AVAXUSDT,LINKUSDT,1.0,2.84,21.252,10.562,21.283,10.566,SELL,BUY,10,137,0.0,-0.486535
2,2024-08-14 02:20:11,2147483647,2147483647,APTUSDT,LTCUSDT,4.4,0.472,6.882,63.51,6.905,63.58,BUY,SELL,10,141,0.0,1.8357
3,2024-08-14 02:20:32,2147483647,2147483647,ATOMUSDT,MATICUSDT,6.05,71.0,4.962,0.4198,4.96,0.4193,SELL,BUY,10,100,0.0,-0.0161556
4,2024-08-14 02:20:53,2147483647,2147483647,ADAUSDT,VETUSDT,89.0,1287.0,0.3374,0.02331,0.3378,0.02338,SELL,BUY,10,129,0.0,-0.789446
5,2024-08-21 04:46:05,19960188013,34493606733,ATOMUSDT,MATICUSDT,775.86,8699.0,4.756,0.4242,4.729,0.4664,SELL,BUY,10,100,-0.0514534,-2.0314
6,2024-08-23 00:03:22,24338690513,63700599078,DOTUSDT,XRPUSDT,885.2,6916.8,4.519,0.5783,4.684,0.5969,SELL,BUY,10,142,0.00215284,-0.732124
7,2024-08-28 04:02:22,43963585416,34673104124,ADAUSDT,MATICUSDT,9244.0,6600.0,0.3729,0.5223,0.3516,0.463,SELL,BUY,10,100,0.0284261,-0.715862
8,2024-08-29 00:02:56,20007720521,34695844930,ATOMUSDT,MATICUSDT,704.11,6427.0,4.772,0.5228,4.604,0.4378,SELL,BUY,10,148,0.0642155,-0.688702
9,2024-08-30 20:03:38,44039556489,31748974609,ADAUSDT,LTCUSDT,1088.0,6.312,0.3485,60.04,0.3464,64.46,BUY,SELL,43,100,0.0421185,0.732842
10,2024-09-01 20:02:48,23153112694,24429460961,AVAXUSDT,DOTUSDT,16.0,88.9,26.054,4.565,22.205,4.195,BUY,SELL,42,100,0.0220764,0.726688
11,2024-09-02 04:04:49,23160226690,24432967542,AVAXUSDT,DOTUSDT,16.0,90.1,25.28,4.506,21.804,4.112,BUY,SELL,45,105,0.0267024,0.740768
12,2024-09-02 04:08:07,23160269744,24432988357,AVAXUSDT,DOTUSDT,16.0,90.1,25.28,4.506,21.829,4.109,BUY,SELL,45,105,0.0263938,0.740691
13,2024-09-03 08:01:53,44125505991,18620641231,ADAUSDT,VETUSDT,1395.0,21499.0,0.3727,0.024187,0.333,0.021975,BUY,SELL,10,127,0.00724148,0.71851
14,2024-09-04 00:04:42,44139560673,34803092054,ADAUSDT,MATICUSDT,9702.0,8221.0,0.3553,0.4193,0.3189,0.3986,BUY,SELL,10,100,0.0267048,0.749448
15,2024-09-06 16:02:47,23246387945,29156412177,AVAXUSDT,FILUSDT,150.0,947.0,24.641,3.902,21.283,3.321,BUY,SELL,10,162,-0.0064999,0.736308
16,2024-09-10 20:01:15,44275212035,18656046982,ADAUSDT,VETUSDT,152.0,2371.0,0.3427,0.021934,0.3434,0.022145,BUY,SELL,10,127,0.00295372,0.577963
17,2024-09-12 08:02:32,23343284731,29204126941,AVAXUSDT,FILUSDT,15.0,102.6,23.846,3.598,23.471,3.617,BUY,SELL,10,162,0.0255958,0.727925
18,2024-09-14 04:01:29,44334981290,18669428530,ADAUSDT,VETUSDT,145.0,2374.0,0.3574,0.021903,0.3587,0.02276,BUY,SELL,10,127,0.0195911,0.665428
19,2024-09-14 14:30:20,10318332722,23375432539,APTUSDT,AVAXUSDT,29.6,8.0,6.209,23.849,6.113,25.094,SELL,BUY,13,199,-0.0518129,-1.3925
20,2024-09-16 00:03:44,23393771020,24544934851,AVAXUSDT,DOTUSDT,17.0,95.4,23.852,4.257,23.774,4.385,BUY,SELL,10,193,0.0179226,0.701563
21,2024-09-18 08:03:35,23430114073,24564194930,AVAXUSDT,DOTUSDT,16.0,89.9,24.835,4.514,23.582,4.124,BUY,SELL,45,105,0.00470287,0.745245
22,2024-09-18 08:04:15,23430120175,24564198807,AVAXUSDT,DOTUSDT,16.0,92.2,25.497,4.402,23.596,4.129,BUY,SELL,42,100,0.0165905,0.657648
23,2024-09-20 00:25:11,23461908330,24580350076,AVAXUSDT,DOTUSDT,17.0,98.3,23.594,4.129,26.923,4.249,BUY,SELL,10,193,-0.0500552,2.16613
24,2024-09-25 03:19:33,44508048692,29305423446,ADAUSDT,FILUSDT,1008.0,97.0,0.3621,3.763,0.3914,3.934,SELL,BUY,27,112,0.0149001,-0.479241
25,2024-09-04 15:19:20,10231777399,34807297496,APTUSDT,MATICUSDT,65.4,987.0,6.33,0.41,6.182,0.3914,SELL,BUY,39,159,-0.03249,1.26
26,2024-09-26 08:01:48,23557752782,29314786919,AVAXUSDT,FILUSDT,13.0,97.5,27.796,3.785,28.034,4.083,BUY,SELL,10,162,0.0473894,0.73783
27,2024-09-29 10:26:38,24656675824,66624758396,DOTUSDT,XRPUSDT,108.1,854.9,4.642,0.5872,4.701,0.6269,BUY,SELL,10,142,0.0281196,0.66018
28,2024-09-29 10:27:00,430627584810,66624787180,BTCUSDT,XRPUSDT,0.033,3524.1,63096.5,0.5854,65450.0,0.6272,BUY,SELL,10,100,0.0123118,0.393071
29,2024-09-29 20:01:03,23602560689,29338978097,AVAXUSDT,FILUSDT,13.0,93.2,30.427,4.195,29.261,4.132,BUY,SELL,10,162,0.00721096,0.743368
30,2024-09-30 07:56:37,60271315443,66704856437,BNBUSDT,XRPUSDT,0.0,0.0,0.0,0.0,582.51,0.6456,BUY,SELL,37,194,0.0,0.0
31,2024-10-02 04:06:23,44633246459,26071219342,ADAUSDT,NEARUSDT,4365.0,318.0,0.3895,5.338,0.3606,4.905,SELL,BUY,42,100,0.00407973,-0.749227
32,2024-10-02 17:37:02,23658625541,32065216318,AVAXUSDT,LTCUSDT,135.0,57.285,28.888,68.22,25.728,63.63,BUY,SELL,10,179,0.0196227,0.748314
33,2024-10-03 00:08:23,34338621061,26085580802,LINKUSDT,NEARUSDT,141.65,318.0,12.001,5.346,10.657,4.619,SELL,BUY,10,100,0.0114985,-0.692084
34,2024-10-03 00:10:53,26085609712,18744072027,NEARUSDT,VETUSDT,103.0,21491.0,5.34,0.025592,4.62,0.022386,BUY,SELL,44,100,0.00357361,0.739766
35,2024-10-03 02:20:56,10615103358,23667040772,APTUSDT,AVAXUSDT,259.1,75.0,7.512,25.791,8.164,25.492,BUY,SELL,13,199,-0.0531494,1.38924
36,2024-10-03 04:04:38,29369373007,66954838061,FILUSDT,XRPUSDT,1760.7,10717.5,3.648,0.5993,3.639,0.5373,SELL,BUY,10,163,0.0508179,-0.571275
37,2024-10-03 08:04:00,23670325781,29370479037,AVAXUSDT,FILUSDT,136.0,997.2,28.652,3.919,24.921,3.576,BUY,SELL,10,162,0.0228011,0.685022
38,2024-10-03 08:04:31,24693068717,66967609573,DOTUSDT,XRPUSDT,1137.7,8220.9,4.415,0.611,4.081,0.5184,SELL,BUY,10,142,0.0376223,-0.670427
39,2024-10-03 08:07:38,32070797915,26089203997,LTCUSDT,NEARUSDT,24.963,319.0,68.1,5.33,63.17,4.591,SELL,BUY,43,100,0.033027,-0.734504
40,2024-10-04 04:06:43,23689413432,24701824339,AVAXUSDT,DOTUSDT,136.0,832.4,28.839,4.695,24.908,4.125,BUY,SELL,10,193,0.00466281,0.742516
41,2024-10-04 12:04:45,72306240779,18750181938,SOLUSDT,VETUSDT,4.0,24246.0,144.032,0.022684,140.007,0.0225,BUY,SELL,13,100,-0.0124433,0.666858
42,2024-10-07 00:06:02,20232838521,72726587328,ATOMUSDT,SOLUSDT,760.21,25.0,4.675,144.104,4.649,146.514,BUY,SELL,10,153,0.0180315,0.66831
43,2024-10-10 04:16:23,34421344765,26164675298,LINKUSDT,NEARUSDT,151.54,332.0,11.218,5.124,10.637,4.637,SELL,BUY,10,100,0.0202206,-0.659485
44,2024-10-10 04:16:52,29415002351,67506098000,FILUSDT,XRPUSDT,1783.7,12260.0,3.601,0.5239,3.52,0.5274,BUY,SELL,10,163,0.0139467,0.723543
45,2024-10-10 16:03:01,439734517843,67547379009,BTCUSDT,XRPUSDT,0.34,39432.3,60627.3,0.5232,60864.1,0.5356,BUY,SELL,10,100,0.0119225,0.728562
46,2024-10-12 01:59:36,23803325605,24750743428,AVAXUSDT,DOTUSDT,152.0,944.9,25.642,4.136,28.926,4.199,BUY,SELL,10,193,-0.0519845,1.27192
47,2024-10-13 08:01:23,23820221007,29432609990,AVAXUSDT,FILUSDT,150.0,1108.3,26.015,3.526,29.08,3.579,BUY,SELL,10,162,-0.0502418,2.85825
48,2024-10-14 15:39:04,74097547404,18782628811,SOLUSDT,VETUSDT,4.0,24616.0,142.748,0.022343,157.38,0.023256,BUY,SELL,13,100,-0.0506102,1.71452
49,2024-10-16 00:11:02,23869079758,32163864817,AVAXUSDT,LTCUSDT,134.0,58.732,29.231,66.54,28.082,71.86,BUY,SELL,10,179,0.0483294,0.74061
50,2024-10-17 04:07:24,29459317005,68050035528,FILUSDT,XRPUSDT,1701.9,11943.1,3.774,0.5378,3.728,0.5498,BUY,SELL,10,163,0.0176366,0.729027
51,2024-10-18 18:36:14,20294673980,74738572391,ATOMUSDT,SOLUSDT,817.01,25.0,4.35,143.393,4.339,156.5,SELL,BUY,10,153,-0.0504695,-1.75755
52,2024-10-22 02:00:50,11086369769,23951616993,APTUSDT,AVAXUSDT,194.4,67.0,10.0093,29.086,10.6293,28.024,BUY,SELL,13,199,-0.0500774,1.14243
53,2024-10-22 16:12:18,23960780853,32228995028,AVAXUSDT,LTCUSDT,142.0,55.058,27.587,70.98,27.778,69.71,SELL,BUY,10,179,0.0132568,-0.720157
54,2024-10-24 12:06:48,45007333551,18822891265,ADAUSDT,VETUSDT,1499.0,23946.0,0.367,0.022968,0.3425,0.022466,BUY,SELL,10,100,0.0218433,0.697991
55,2024-10-25 08:07:30,452096259523,12632939138,BTCUSDT,TRXUSDT,0.105,44589.0,67611.7,0.15957,67392.4,0.16522,BUY,SELL,41,100,0.0206188,0.735841
56,2024-10-25 08:08:43,29506573761,18826161772,FILUSDT,VETUSDT,141.2,23284.0,3.896,0.023621,3.658,0.022542,BUY,SELL,10,100,0.00816997,0.71838
57,2024-10-26 20:07:13,45048409439,18832572644,ADAUSDT,VETUSDT,1599.0,23924.0,0.344,0.022989,0.3322,0.021611,SELL,BUY,10,100,0.012681,-0.736342
58,2024-10-27 20:06:57,45062346710,34625052334,ADAUSDT,LINKUSDT,10039.0,301.42,0.3632,12.096,0.339,10.946,SELL,BUY,10,107,0.0144925,-0.675682
59,2024-10-27 20:07:34,34625056500,18835153458,LINKUSDT,VETUSDT,45.46,23273.0,12.099,0.023633,10.952,0.022077,BUY,SELL,10,100,0.0129359,0.640602
60,2024-10-28 04:07:02,29521284832,18836149017,FILUSDT,VETUSDT,157.2,24934.0,3.498,0.022058,3.528,0.021683,SELL,BUY,10,100,0.0119499,-0.746565
61,2024-10-28 16:10:58,29524529048,34637452389,FILUSDT,LINKUSDT,1585.2,515.98,3.484,10.704,3.546,10.863,SELL,BUY,10,149,0.00231163,-0.690376
62,2024-10-28 16:14:32,455128908810,68980635119,BTCUSDT,XRPUSDT,0.315,38106.8,65457.5,0.5414,68745.2,0.514,BUY,SELL,10,100,-0.0501069,1.56593
63,2024-10-29 20:04:28,20351947773,456383529323,ATOMUSDT,BTCUSDT,754.4,0.051,4.711,69388.4,4.503,72366.4,SELL,BUY,80,199,-0.043877,-0.748051
64,2024-10-31 16:03:01,458233463620,34688153848,BTCUSDT,LINKUSDT,0.08,506.14,68809.9,10.912,70505.7,11.745,BUY,SELL,18,124,0.0275624,0.749172
65,2024-11-01 15:48:38,45147423301,34707066339,ADAUSDT,LINKUSDT,10204.0,297.1,0.3573,12.272,0.352,11.256,SELL,BUY,10,100,0.035273,-0.749654
66,2024-11-02 03:16:54,45157175233,18855429119,ADAUSDT,VETUSDT,1567.0,24675.0,0.351,0.02229,0.363,0.020764,BUY,SELL,10,100,-0.050406,2.26853
67,2024-11-04 12:06:10,29564907305,34751748291,FILUSDT,LINKUSDT,1472.0,460.37,3.752,11.997,3.385,10.635,SELL,BUY,10,100,0.00843882,-0.692727
68,2024-11-04 20:07:35,61788385215,69556303190,BNBUSDT,XRPUSDT,25.61,27261.7,570.59,0.5361,552.16,0.5068,BUY,SELL,37,194,-0.0118641,0.74868
